title,newspaper,url,date,imgs,body,author,tags
Watch: Meet Malta's athletes at the Olympics,timesofmalta,https://timesofmalta.com/article/watch-im-lazy-except-sports-meet-malta-athletes-olympics.1095985,28-07-2024,001308.png,"Five athletes are representing Malta in the Olympic Games - sprinter Beppe Grillo, judoka Katryna Esposito, shooter Gianluca Chetcuti, and swimmers Sasha Gatt and Kyle Micallef.
 While preparing for the opening ceremony in Paris last Friday, three of them found the time to tell Times of Malta about themselves and what they hope to achieve. Meet Beppe Grillo, Katryna Esposito and Kyle Micallef
 Athletics - Men’s 100m Preliminary Round
 
 Grillo's greatest achievement to date has been clocking a time of 10.23 seconds in the 100 metres at the Balkan Championships, where he also secured Malta’s first bronze medal in the event. That performance earned him a spot as Malta’s wild card in the athletics category for the Olympic Games.
 His says his goal at the Olympics is to surpass his personal best. Ideally, he hopes to reach the semi-finals, a feat he believes is within reach. Grillo transitioned from football to athletics at the age of 14. He describes himself as generally lazy, except when it comes to sports, acknowledging that laziness hinders progress in athletics.
 Judo - Women’s 48kg Preliminary Rounds
 
 Esposito began practising judo at the age of four, training under the guidance of her father to whom she obviously attributes her passion for the sport. Apart from being a member of Team Malta, Esposito's most notable achievements include winning bronze at the 2022 Commonwealth Games and securing silver at this year's Algiers Africa Open following a recovery from injury.
 Regarding her aspirations for the Olympics, Esposito stated: ""I want to leave the mat knowing I gave it my all."" When not competing or training, she says she enjoys being in touch with nature with her friends, family, and dogs. In addition to her accomplishments in judo, Esposito is also a skilled amateur baker.
 Swimming - Men’s 50m Freestyle Heats
 
 Micallef, an Australian native, aims to make himself, his family, and Malta proud at the Olympics by recording a satisfactory time in the 50m freestyle. His greatest achievement has been winning gold in the 50m freestyle and the 4x100 relay at the 2023 GSSE.
 ""I have been swimming since I was two months old,"" said Micallef, who started competing at age seven. A sports enthusiast, Micallef is excited to watch various events in person and meet athletes he has long admired.
 The two other athletes on Team Malta are Gianluca Chetcuti, who competes in the Shooting—Men’s Skeet competition, and Sasha Gatt, who competes in the Swimming—Women’s 1500m Freestyle Heats. 
",Emma Borg,"National,Sport,Olympics"
Malta’s elusive Olympic dream,timesofmalta,https://timesofmalta.com/article/malta-elusive-olympic-dream.1096439,08-08-2024,"001861.png,001862.png,001863.png","Almost a century has passed since Malta’s first foray into the Olympic Games, when its nine-man waterpolo team reached the quarterfinals of the Amsterdam 1928 games.
 Ninety-six years later, this remains arguably the country’s most successful showing.
 Since then, over 100 athletes have represented Malta across a further 20 editions of the games, each of them aspiring to compete with the world’s best in their respective disciplines and, perhaps, bag a medal.
 All of them have returned empty-handed.
 There have been some respectable performances over the years, from shooter William Chetcuti’s near misses in 2004, 2008 and 2012, to windsurfer Peter Bonello’s ninth-placed finish in 1984.
 There have also been encouraging results in other competitions, not least last year’s Small Nations Games, where Malta topped the medal count.
 But Malta has largely looked on forlornly as several other world minnows took turns competing for silverware.
 This year, Julien Alfred swept to victory in the women’s 100-metre sprint to bag a first medal for Saint Lucia, population 180,000.
 Closer to home, San Marino – population 33,000, a touch fewer than St Paul’s Bay – took home three medals at the Tokyo 2020 Olympics, while Liechtenstein’s 39,000 residents have collected a total of 10 medals over the years, albeit all of them in alpine skiing.
 Malta remains one of only eight European countries – and 74 around the world – to have never seen one of its athletes step triumphantly on an Olympic podium.
 Times of Malta spoke to former Olympians and sports educators to try and understand what is holding Maltese athletes back.
  Former Olympic runner Mario Bonello says that much of the problem boils down to starting athletes early.
 “Are we giving sport enough prominence at school?” he asks, rhetorically.
 “We need to widen participation at younger age levels. We don’t know what talent we have because many children don’t participate in sports in the first place,” he says.
 Bonello argues that given Malta’s small pool of children from which to choose, the country needs to up the ratio of children practising sports higher than that of other countries if it wants to start on an equal footing.
 Bonello says that this requires a root-and-branch rethink of attitudes towards sports in schools.
 Instead of sporadic physical education lessons spread throughout the week, he says, more schools should be looking to emulate the model adopted by the National Sports School to offer students the opportunity to dedicate an hour-and-a-half each day to sport.
 Popular sports broadcaster and educator George Micallef agrees that attitudes towards sport often hold Malta back.
 Micallef, a founder of the National Sports School, is today in charge of sports development and recruitment at the Mediterranean College of Sports, an independent school for children over the age of 11.
 “Malta lacks a proper sports culture that is ingrained from an early age,” Micallef says, pointing to what he perceives as shortcomings in athletes’ “performance lifestyle”, or their mindset and day-to-day habits.
 “Being an athlete is more than training and practising a sport, it’s also about sleeping habits, nutrition, perseverance and how you live your life.”
 
 The problem, Micallef believes, is ultimately cultural and stretches beyond just the realm of sports.
 “We tend to pamper youths, instead of encouraging them to stretch beyond their comfort zone and develop discipline, resilience and autonomy,” he says, arguing that these qualities are crucial for an athlete to deal with sporting setbacks.
 Just look at how many athletes move abroad to advance their sporting careers but don’t stick it out, returning home after just a few weeks or months, he says.
 That’s not to say that it all boils down to culture.
 Micallef believes that Malta still lags behind other countries when it comes to sports science, particularly in areas like sports psychology and data analysis.
 Ultimately, Micallef says, “Maltese athletes lack a holistic development that goes beyond purely technical training”.
 These shortcomings emerge in top-level competitions, where the finest of margins can sway a result, he argues.
 Bonello echoes these thoughts when asked whether Maltese athletes tend to underperform during the Olympics, compared to their usual standard.
 “Not everybody was born with the mentality required to win an Olympic medal,” he says, pointing out that pressures and expectations can sometimes play tricks on even the most technically gifted international athletes.
  Both Bonello and Micallef agree that support structures for Maltese athletes are sorely lacking, with athletes frequently finding themselves between a rock and a hard place when faced with crucial career decisions.
 Bonello recalls how, on several instances, athletes had to withdraw from prestigious international competitions because their dates clashed with exams or coursework.
 In one instance, he says, “an examiner accompanied the athlete abroad so the athlete could sit for an O-level exam during a competition”.
 Micallef believes that “we make children choose either education or sports, instead of helping them develop a dual career”. When push comes to shove, he says, many abandon their sporting dreams to focus on their academic careers.
 “Can you blame them? An athlete’s career is short and can be unsteady. We are losing so many young athletes in this way, especially girls.”
 Former runner Tanya Blake, who represented Malta in the Athens 2004 Olympics, certainly doesn’t think so.
 “I don’t agree that the Maltese athletes gave disappointing performances,” she says. “They all earned their right to be there and would have performed to the best of their ability on the day.”
 More broadly, she believes that Malta’s sporting performances are on the up. “I’ve really enjoyed seeing the progress that Maltese sport has made, especially in athletics,” she says.
 “Maltese athletes have shown that they can excel in the GSSE (small nations games), Mediterranean games and Commonwealth games.”
 But why not the Olympics? And why are we being outflanked by fellow European minnows?
 Part of the reason is experience, Bonello says.
 Athletes from the likes of San Marino (“more or less just another Italian town, at least geographically”) have far more opportunities to travel and train with top Italian athletes in their field and gain crucial competition experience, compared to their Maltese counterparts.
 Still, Bonello echoes Blake’s optimism over the upward trajectory of Malta’s sports, especially in light of what he describes as “unprecedented investment in athletics” over the past three years.
 Malta’s training facilities are “generally very good,” he says, and there have been moves to consolidate the progress through more professionalisation in the sector.
 The setting up of Malta’s first-ever national athletics team in 2020 is key to this, he believes. “This means that we now follow athletes throughout the year, not just at competition time,” he says.
 “We’ve started seeing some results in our strong performances at last year’s small nations games and in the recent European Team Championships.”
 But, he warns, this investment needs to be sustained over time, if we want to see the kind of improvements we expect.
 “And by sustaining the investment I don’t mean just throwing money at the problem, it’s about supporting new and emerging athletes to fulfil their potential.”
",Neville Borg,"National,Sport,Olympics"
Malta's paralympic athletes on overcoming challenges as Games begin,timesofmalta,https://timesofmalta.com/article/i-person-i-challenges-i-faced.1097353,29-08-2024,"001875.png,001876.png,001877.png","Maja Theuma was born with achondroplasia, a bone growth disorder that results in dwarfism, yet as she grew up she did not let this discourage her, instead, it defined her.
 “Growing up, I saw the difference between myself and others, but that did not stop me from getting to where I am today,” Theuma told Times of Malta.
 “I am the person I am today because of the challenges I have been through,” she said.
  The 24-year-old is the first Maltese female para swimmer with achondroplasia and is participating at the 17th Summer Paralympics Games in Paris.
 The 2024 Paralympic Games kicked off yesterday evening and run until September 8.
 This is Malta’s 11th appearance at the games and the two athletes proudly waving the Maltese flag are swimmer Theuma and track athlete Antonio Flores.
 Theuma will today be competing in the 50-metre freestyle. Flores will be competing in the 100m and 200m races, scheduled between September 1 and 2.
 Times of Malta met up with the two athletes a few days before they headed to Paris.
 Maja began training professionally just seven years ago, and since then she has participated in numerous para swimming competitions abroad.
 She recalled how although her parents were divers and her brother a water polo player she would play tennis and football at a young age and didn’t show much interest in swimming.
 However, once her brother began professional training in water polo things changed. She started training in 2015 aged 15 and years later has never looked back. 
 “When I’m in the water, I am in my zone, I forget what is happening around me and just focus on my strokes.”
 Training for the games has been challenging, as Theuma trains 11 times a week – nine swimming sessions and two strength sessions.
 “I train twice or three times a day, and right now, every millisecond counts,” she said.
 “The training has been tough in the past few weeks, but the outcome is rewarding. The main aim is to stay focused on myself and my target and not let anything get in the way of that.”
  When asked what her target was for her race, she smiled and said that was a secret.
 This is not the first time Theuma trained to qualify for the Paralympic Games. During the 2020 COVID lockdown, the young swimmer trained in the sea on her own, yet she failed to qualify for the Tokyo 2020 Games.
 “It was challenging, especially because the games were postponed by a year and I spent so much time training on my own. So when I received the news I was upset,” she said.
 “But I believe everything happens for a reason, and now I have more experience going to Paris. I feel more prepared than before.”
 Theuma is not the only athlete who had their eyes on Tokyo 2020.
 A ‘veteran’ in the sport, Antonio Flores had his eyes set on participating in the Tokyo 2020 Games, yet had to pull out at the last minute after injuring his Achilles tendon.
 “It was very difficult to know I qualified, and at the end of one training session I hurt my leg and then had to drop out,” he said.
 The 34-year-old had first competed in the Beijing Paralympic Games with his club foot.
 “I can say that during that time, I stopped speaking to the athletics team and I stopped watching the sport. I just couldn’t do it at the time.”
 Once the Tokyo Games had passed, he began to heal mentally and began his journey to recovery.
 Now, he feels more prepared than ever to compete in Paris.
  “For Beijing, I was just 18, I could say I was immature and just four years in the sport. Now, I have grown, I know my body more and I am more aware of how to move with my blade. During this time in  Paris, I will appreciate the sport more.”
 The 34-year-old had first competed in the Beijing Paralympic Games with his club foot. His career took a halt when he began to feel pain in his right leg. The pain became unbearable, despite trying to run with a brace.
 “I had two options – either reduce my mobility or amputate my leg and lead more or less a normal life.”
 Flores became an amputee, and with strength and determination learnt how to walk, jog, run and sprint once again.
 “While running with a foot problem is very challenging, it is also the most rewarding,” he said.
 “When you are running, it’s not just an activity, it is spiritual. That moment you are in the air and your foot is about to touch the ground feels like you are flying. It is very difficult to explain the feeling.”
 He believes what he has achieved is a result of discipline and patience.
 “You might not see results overnight, but with discipline and patience, you will get to your goal. When I started running with a running blade, I would fall and struggle, but I always got back up.”
 When asked what his goals are for Paris, he said he did not want to put too much pressure on himself, but wanted to enjoy the games.
",Giulia Magri,"National,Sport,Olympics"
Works on €35m cycle network to begin in ‘coming months’,timesofmalta,https://timesofmalta.com/article/works-35m-cycle-network-begin-coming-months.1101360,22-11-2024,002566.png,"Works on the first phase of a €35 million national cycle network are set to begin in the “coming months” after a tender for the project was finally awarded.
 Once completed, the first part of the cycle network project (C-SAM) will enhance and establish new cycling and pedestrian routes connecting Msida, Pietà, Blata l-Bajda, Valletta and the Valletta waterfront.
 
 “Infrastructure Malta announced its recommendation to award a contract to RM Construction Ltd. The proposed contract is valued at €7,433,721.43,” a spokesperson for the government agency said.
 Times of Malta understands that the appeal period for rival bidders has ended, and RM’s bid is currently undergoing compliance checks. Works should begin once that is complete.
 “Works should begin in the coming months,” the Infrastructure Malta spokesperson said.
 The first phase of C-SAM was originally given an end-of-2024 deadline.
 In October 2022, Infrastructure Malta, under the direction of then transport minister Aaron Farrugia, announced a plan to build between 50 and 60 kilometres of cycling routes over five years.
 In April 2023, the Transport Ministry said that the first phase of the bicycle network project, C-SAM, would focus on the Grand Harbour area and should be completed by the end of 2024.
 Although a tender for the Grand Harbour project was issued later in 2023, sources indicated that it was not awarded due to a lack of compliant bidders.
 The agency issued another tender last June and applications closed in July.

                ",Daniel Ellul,"National,Cycling,Infrastructure"
Cyclist seriously injured in crash with parked car,timesofmalta,https://timesofmalta.com/article/cyclist-seriously-injured-crash-parked-car.1097475,31-08-2024,003587.png,"A 61-year-old woman was left with serious injuries after her bicycle collided with a car on Saturday morning.
 The incident took place at around 10am on Triq l-Għenba in Attard, when the cyclist, an Attard resident, collided with a parked Toyota Aygo.
 She was treated at the scene before being taken to Mater Dei hospital, where her injuries were certified as serious. 
 A police investigation into the incident is ongoing.
",Times of Malta,"National,Accident,Cycling"
Qala Saints FC and two players to be charged with match fixing,timesofmalta,https://timesofmalta.com/article/qala-saints-fc-two-players-charged-match-fixing.1093974,15-06-2024,004555.png,"A Gozitan football club and two players are to be charged with match-fixing by the Malta FA Integrity Unit.
 Qala Saints FC and its player Manuel Xerri, along with Żebbuġ Rovers goalkeeper Leonard Camilleri will be suspended by the MFA after being summoned to appear at a hearing about the incident. 
 It follows an investigation into the top-of-the-table clash in the GFA Division One between Nadur Youngsters and Qala Saints at the Gozo Stadium which ended in a 1-1 draw.
 MFA Integrity Officer Herman Mula confirmed that the “approach” happened before the direct clash between the two clubs on March 17. The Malta FA accused the club and the two footballers of attempting to bribe the Nadur Youngsters player.
 Nadur Youngsters went on to win the GFA Division One title when they finished two points clear of Qala Saints at the top of the standings.
 Mula said Xerri and Camilleri will be facing match-fixing charges while Qala Saints have also been accused as the approach was allegedly masterminded by one of their players in a bid to help his own club.
 Xerri, Camilleri and the club Qala Saints are expected to appear in front of the Malta FA’s Board Control Disciplinary and Ethics Committee on Wednesday to respond to the accusations.
 The charges followed an investigation conducted by both the Malta Police Force and the Malta FA Integrity Office.
 “I can confirm that the Malta FA Integrity Unit has just issued charges against two players, Leonard Camilleri and Manuel Xerri, as well as Division One side Qala Saints, which club is carried in liability by their player’s actions following an attempt to bribe a Nadur Youngsters player,” Mula said.
 “As part of the usual proceedings in such cases, both Camilleri and Xerri have been temporarily suspended from any football activity until the hearing is heard in front of the MFA board.”
 The MFA Integrity Officer said Xerri and Camilleri are also expected to face bribery charges in front of the Criminal Courts in the coming weeks and could face a prison sentence if found guilty under the Law of Manipulation of Sport.
",Valhmor Camilleri,"National,Sport,Football"
Shooters escorted off KM Malta flight after pilot rejects airguns in hold,timesofmalta,https://timesofmalta.com/article/shooters-escorted-off-km-malta-flight-pilot-rejects-airguns-hold.1092744,20-05-2024,"004727.png,004728.png","Four Maltese shooters were escorted off a KM Malta Airlines flight on Sunday after the pilot refused to carry their airguns, despite them having the necessary paperwork.
 The members of Malta Allied Airgunners Club (MAAC) were on board the plane to travel home at 8.30pm after taking part in a competition in Belgium when their problems began. 
 “Over the years, we have travelled with AirMalta (former national airline) for different shooting competitions, and this is the first time we ever had issues,” Natal Falzon, one of the shooters, told Times of Malta. 
 “This happened because the pilot refused to have weapons on his plane, despite us having all the paperwork and permits in order. He said ‘his plane, his call, no guns’.”
 The shooters had faced no problems when they flew from Malta to Brussels for the Mamba Target Open in Grupont.
 An airgun fires pellets using compressed air and does not operate with gunpowder. Falzon explained how before every flight, the group decompressed the pressure of the gun before packing it and the pellets in their suitcase to be placed in the hold luggage.  
 They had taken their seats on the flight when the commotion began.
  “We had all the paperwork on our end, yet once the pilot found out weapons were going to be placed on the plane, he decided he did not want our weapons on his plane,” he explained. 
 The ground crew and airport security were also roped into the incident after the pilot requested a specific document from the Brussels Airport to show such weapons were allowed on the plane. Falzon said the security and ground crew staff said they did not know of such a document.
 Despite this, the pilot insisted that no weapons were to board the plane. 
 “We told him that we had everything in order, we had all the police permits, all the forms necessary and followed the necessary procedures to take our airguns on the plane,” he said, yet the pilot did not want the weapons on the plane. 
  Falzon said the Malta Allied Airgunners Club has travelled numerous times with the national airline to compete in competitions abroad in countries like Bulgaria and the UK.
 ""The pilot told us to get off the plane, but we said we were not planning to do so, we had paid and booked everything six months in advance,"" he said.
 By then security and police staff arrived on the plane, and Falzon said the pilot reported him and his colleagues to the police.
 By the end, the group got off the plane as they could not leave their airguns unattended. 
 ""When we got off the plane, everyone was very helpful to us, the ground crew, the consultant, who was on the phone with us for over 30 minutes trying to solve the situation,"" he said.
 He said KM Malta Airlines also reached out to the group, covering their expenses for a flight back to Malta on Monday evening. 
 ""Everyone went out of their way to help us, the situation was created by one man, who was anti-gun and decided he did not want weapons on his plane,"" he said. 
 In a one-line response, KM Malta Airlines said: ""All was sorted out with the passengers early this morning.""
",Giulia Magri,"National,KM Malta Airlines,Shooting (sport)"
"Ħamrun Spartans win Premier League title, crush rivals Floriana 5-0",timesofmalta,https://timesofmalta.com/article/hamrun-spartans-win-premier-league-title-crush-rivals-floriana-50.1091654,21-06-2024,"005050.png,005051.png,005052.png","Ħamrun Spartans produced a rampant performance to crush Floriana 5-0 and retain their status as Malta champions for a second successive season.
  The Spartans, under the charge of Luciano Zauri, needed a win to assure themselves of mathematical certainty to secure the Premier League title and the Reds turned on the style with a rampant display.
  Playing in front of the biggest crowd of the season, where over 8,000 fans thronged the National Stadium, Ħamrun Spartans took the lead after eight minutes when Seth Paintsil headed the ball home from a Ryan Camenzuli’s cross.
  Floriana looked rattled and Paintsil went on to bag his hat-trick when he was first to the rebound from Luke Montebello’s cross to fire home and then he was played in by Jonny to slide the ball into the net.
 Elionay killed off the match as a contest with a fourth goal in first-half stoppage time.
  Paintsil was not finished yet and midway through the second half he grabbed his fifth goal to kickstart the Ħamrun Spartans title party.
 By virtue of their win, the Spartans took an unassailable four-point lead at the top and are now ensured of their tenth league title in their club history.
 More to follow 
",Valhmor Camilleri,"National,Sport,Football,BOV Premier League,Ħamrun,Floriana"
"Marsa racetrack is a danger to horses, say horse owners",timesofmalta,https://timesofmalta.com/article/marsa-racetrack-danger-horses-say-horse-owners.1097769,09-08-2024,"005344.png,005345.png,005346.png,005347.png,005348.png","The Marsa horse racing track is in “the worst state ever” and poses a danger to horses, according to their owners, five years after a pledge to transform the venue into a state-of-the-art equestrian centre. 
 Gravel, rather than pure sand, has been spread on the racetrack, leading to concerns about injuries to horses due to compete in just a few weeks.
 Other facilities, including the paddock and the old racecourse cannot be used because they are full of rubble.
  The track, managed by Equidrome Malta and run by Malta Race Track Limited, also lacks essential infrastructure, horse owners say. 
 There are no working generators, meaning night-time races are at risk of being plunged into darkness should there be a power outage. Damaged canopies, supposed to shelter horses from the sun, are also on the brink of collapse. 
 Times of Malta visited the venue after being contacted by furious horse owners, frustrated over the dilapidated state of the track that has been hosting racing since 1869. 
  The conditions come despite promises made five years ago by the government and Malta Racing Club for a €28 million project to transform the area into an international equestrian sport centre by 2023.
 Horse owners said they were told in June that the summer championships could not be held this year to allow work to begin on the regeneration project.
 “We love to race but we still accepted their decision to take a few weeks’ break, particularly given the very hot climatic conditions we had this summer,” a horse racing owner said.
 “But unfortunately, no work has been done to improve the facilities. The facilities are at their worse state ever and I am seriously fearing the wellbeing of my horse.”
  The owner added that the paddock had been closed off after being filled with rubble. 
 “This means that during the 20-minute period between one race and another you have 16 horses which do not have any area to wait before the start of their race.” 
 He said a canopy to protect drivers and horses from the rain and sun has been severely damaged and there is danger that it could collapse and injure someone.
 The horse racing owners complained that sand was brought in to cover the racetrack a few weeks ago but “they brought the wrong kind of sand as it’s full of gravel.”
 Another owner claimed that when the mistake was realised, fresh sand was ordered but it was “mixed with the wrong one and put on the racing track with the result that horses will race on a surface full of gravel with a major risk of injury as could end up with a stone in their nails posing serious consequences.”
 The absence of a backup power source is another pressing issue. 
 “If there is a power cut at the Marsa racing track during a race at night, drivers and horses are put at a major risk of getting seriously hurt,” the owners said.
 The old racecourse situated behind the racetrack is also unavailable for drivers and owners as tons of rubble have been dumped along the course, leaving no space for drivers to run their horses.
 A news conference in Castille in 2019 had promised that the consortium would transform the horse racing track into an international sport centre within four years.
 The project was not just to regenerate the racetrack and the existing polo pitch but was also to include facilities for different equestrian sports including flat racing, horse shows and events. Modern stabling facilities were also promised, along with training and rehab facilities that would ensure the welfare and well-being of the horses.
 There were also plans for the stables of Sheikh al Makhtum of Dubai to organise races for horses brought over from Dubai to run in Malta.
  Horse racing owners also complained that they have little incentive to be successful in the local scene as the prize money on offer is exceptionally low compared to foreign competitions.
 
 “In Malta if you win a premier class race, which is the highest division, you pocket €600. In France, if you win a low-key race you take home €7,000. Of more concern is that in Malta you wait for months to be given the money you have won.
 “Despite all this we are still driven by our passion for the sport, and we still invest in buying new horses even though we have very little return,” one owner said.
 Times of Malta has sent questions to the track management and the sports ministry.
",Valhmor Camilleri,"National,Marsa,Horse racing,Sport"
